,budget,cast,close,director,gross,mpaa,open,opening_gross,opening_theaters,rank,rating,season,studio,title,year,June-Sep,Oct-Nov,Jan-May,Dec,mpaa_new,PG,R,PG-13,prol_studio,Tier_2
2361700,1000000.0,,-,,288757.0,Rated PG for mild thematic elements and language,11/28,32238.0,8.0,290,7.6,Oct-Nov,MBox,Antarctica: A Year on Ice,2014,False,True,False,False,PG,True,False,False,False,False
1571249,1000000.0,,12/25,,5284309.0,"Rated R for language, some sexuality and drug use",9/12,380691.0,15.0,145,6.9,June-Sep,RAtt.,The Skeleton Twins,2014,True,False,False,False,R,False,True,False,False,False
1659337,13000000.0,,2/7,,17742948.0,"Rated PG-13 on appeal for mature thematic material, drug and alcohol use, sexual content including references, and a fight - all involving teens",9/21,228359.0,4.0,114,8.0,June-Sep,LG/S,The Perks of Being a Wallflower,2012,True,False,False,False,PG-13,False,False,True,False,False
0492389,35000000.0,,7/15,,17630465.0,"Rated PG for some rude humor, mild language and brief smoking",4/30,6627564.0,2997.0,121,3.7,Jan-May,Sum.,Furry Vengeance,2010,False,False,True,False,PG,True,False,False,False,False
1583420,30000000.0,,8/18,,35608245.0,Rated PG-13 for brief strong language and some sexual content,7/1,13096065.0,2973.0,90,6.0,June-Sep,Uni.,Larry Crowne,2011,True,False,False,False,PG-13,False,False,True,False,False
1583421,140000000.0,,7/18,,122523060.0,"Rated PG-13 for intense sequences of combat violence and martial arts action throughout, and for brief sensuality and language",3/28,40501814.0,3719.0,25,5.8,Jan-May,Par.,G.I. Joe: Retaliation,2013,False,False,True,False,PG-13,False,False,True,False,False
0816711,190000000.0,,10/10,,202359711.0,"Rated PG-13 for intense frightening zombie sequences, violence and disturbing images",6/21,66411834.0,3607.0,13,7.0,June-Sep,Par.,World War Z,2013,True,False,False,False,PG-13,False,False,True,False,False
2170593,13000000.0,,3/5,,44137712.0,"Rated PG-13 for mature thematic material including sexual content, alcohol and tobacco use, and for language",10/10,109878.0,4.0,74,7.3,Oct-Nov,Wein.,St. Vincent,2014,False,True,False,False,PG-13,False,False,True,False,False
0448694,130000000.0,,3/1,,149260504.0,Rated PG for some adventure action and mild rude humor,10/28,34077439.0,3952.0,16,6.7,Oct-Nov,P/DW,Puss in Boots,2011,False,True,False,False,PG,True,False,False,False,False
1622979,40000000.0,,10/13,,42587643.0,"Rated R for strong violent/gruesome accidents, and some language",8/12,18031396.0,3155.0,73,5.9,June-Sep,WB (NL),Final Destination 5,2011,True,False,False,False,R,False,True,False,False,False
1058017,18500000.0,,12/17,,18451251.0,Rated PG-13 for language including some sexual material and a drug reference,10/2,7027472.0,1707.0,113,6.4,Oct-Nov,WB,The Invention of Lying,2009,False,True,False,False,PG-13,False,False,True,False,False
0758746,17000000.0,,4/23,,65002019.0,"Rated R for strong bloody violence, some graphic sexual content, language and drug material",2/13,40570365.0,3105.0,52,5.6,Jan-May,WB (NL),Friday the 13th ,2009,False,False,True,False,R,False,True,False,False,False
1057500,60000000.0,,3/25,,37491364.0,Rated PG-13 for brief strong language,12/11,8611147.0,2125.0,78,7.4,Dec,WB,Invictus,2009,False,False,False,True,PG-13,False,False,True,False,False
1243957,100000000.0,,3/10,,67631157.0,Rated PG-13 for violence and brief strong language,12/10,16472458.0,2756.0,47,6.0,Dec,Sony,The Tourist,2010,False,False,False,True,PG-13,False,False,True,False,False
1911644,12800000.0,,6/9,,51872378.0,"Rated R for violence, disturbing content and some language",3/15,17118745.0,2507.0,69,6.7,Jan-May,TriS,The Call,2013,False,False,True,False,R,False,True,False,False,False
1686018,3000000.0,,9/15,,508714.0,"Rated R for bloody violence and grisly images, some sexual content, graphic nudity, language and brief drug use",9/9,327000.0,1507.0,250,3.7,June-Sep,BD,Creature ,2011,True,False,False,False,R,False,True,False,False,True
1615065,45000000.0,,9/6,,47382068.0,"Rated R for strong brutal and grisly violence, some graphic sexuality, nudity, drug use and language throughout",7/6,16016910.0,2628.0,72,6.5,June-Sep,Uni.,Savages ,2012,True,False,False,False,R,False,True,False,False,False
2051894,1200000.0,,6/13,,2861020.0,Rated PG-13 for some mature thematic material,4/19,1582466.0,381.0,165,5.9,Jan-May,Gold.,Home Run,2013,False,False,True,False,PG-13,False,False,True,False,False
1366365,20000000.0,,10/4,,3763583.0,Rated PG-13 for language and sexual content,9/7,1831588.0,1511.0,160,4.9,June-Sep,LG/S,The Cold Light of Day,2012,True,False,False,False,PG-13,False,False,True,False,False
2209418,3000000.0,,11/7,,8114627.0,Rated R for sexual content/nudity and language,5/24,246914.0,5.0,137,7.9,Jan-May,SPC,Before Midnight,2013,False,False,True,False,R,False,True,False,False,False
1924429,16000000.0,,6/6,,2328743.0,"Rated R for sexual content, graphic nudity, violence, some grisly images, and language",4/5,131145.0,4.0,174,7.0,Jan-May,FoxS,Trance,2013,False,False,True,False,R,False,True,False,False,False
1690953,76000000.0,,1/16,,368061265.0,Rated PG for rude humor and mild action,7/3,83517315.0,3997.0,4,7.5,June-Sep,Uni.,Despicable Me 2,2013,True,False,False,False,PG,True,False,False,False,False
