,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
223,1302067,0.0,0.0,0.0,3.0,1.0,0,66,Yogi Bear,2010,0
224,1321511,0.0,0.0,0.0,0.0,2.0,3,17,Oldboy ,2013,2
225,881320,0.0,0.0,0.0,3.0,2.0,1,61,Sanctum,2011,2
226,790712,0.0,0.0,0.0,0.0,3.0,3,36,The Messenger,2009,2
227,1225822,0.0,0.0,0.0,1.0,2.0,2,33,Extract,2009,2
228,1667353,0.0,0.0,0.0,4.0,2.0,1,49,Mirror Mirror,2012,0
229,1582507,0.0,0.0,0.0,3.0,2.0,2,49,House at the End of The Street,2012,1
230,1216492,0.0,0.0,0.0,2.0,3.0,1,61,Leap Year,2010,0
231,898367,0.0,0.0,0.0,0.0,3.0,3,65,The Road,2009,2
232,1235522,0.0,0.0,0.0,2.0,2.0,1,20,Broken City,2013,2
233,1371155,0.0,0.0,0.0,0.0,3.0,3,53,Made in Dagenham,2010,2
234,1240982,0.0,0.0,0.0,3.0,2.0,1,61,Your Highness,2011,2
235,816442,0.0,0.0,0.0,0.0,4.0,3,20,The Book Thief,2013,1
236,2096672,0.0,0.0,1.0,3.0,2.0,3,61,Dumb and Dumber To,2014,1
237,1049413,2.0,1.0,1.0,4.0,4.0,1,11,Up,2009,0
238,1600195,0.0,0.0,0.0,3.0,1.0,2,28,Abduction,2011,1
239,485985,0.0,0.0,0.0,2.0,2.0,1,20,Red Tails,2012,1
240,1053810,0.0,0.0,0.0,2.0,2.0,3,20,The Big Year,2011,0
241,1235189,0.0,0.0,0.0,0.0,3.0,3,22,Wild Target,2010,1
242,455944,0.0,0.0,0.0,3.0,3.0,2,56,The Equalizer,2014,2
243,491152,0.0,0.0,0.0,3.0,2.0,1,66,Something Borrowed,2011,1
244,1028576,0.0,0.0,0.0,3.0,3.0,3,11,Secretariat,2010,0
245,1535438,0.0,0.0,0.0,2.0,3.0,2,56,Hope Springs,2012,1
246,2109184,0.0,0.0,0.0,3.0,1.0,3,42,Paranormal Activity 4,2012,2
247,1139668,0.0,0.0,0.0,2.0,1.0,1,61,The Unborn ,2009,1
248,1695994,0.0,0.0,0.0,0.0,1.0,2,56,The Virginity Hit,2010,2
249,1071812,0.0,0.0,0.0,0.0,3.0,2,23,Mao's Last Dancer,2010,0
250,499549,4.0,4.0,2.0,3.0,4.0,0,20,Avatar,2009,1
251,1277953,1.0,1.0,1.0,4.0,3.0,2,38,Madagascar 3: Europe's Most Wanted,2012,0
252,891592,0.0,0.0,0.0,1.0,0.0,1,20,Street Fighter: The Legend of Chun-Li,2009,1
253,1196141,0.0,0.0,0.0,3.0,2.0,1,20,Diary of a Wimpy Kid,2010,0
254,1578275,0.0,0.0,0.0,3.0,2.0,1,61,The Dilemma,2011,1
255,2103254,0.0,0.0,0.0,3.0,1.0,2,66,Tammy,2014,2
256,1022603,0.0,0.0,0.0,0.0,4.0,2,21,(500) Days of Summer,2009,1
